VIN,MODEL,TRIM,MSRP,MODEL NUMBER,YEAR
3KMJCCDE7SE006095,TUCSON,SEL CONVENIENCE AWD,$36155,85462A4S,2025
5NMJA3DE7SH545611,TUCSON,SE FWD,$30800,85402F4S,2025
5NMJACDE2SH559836,TUCSON,SE AWD,$32330,85402A4S,2025
5NMJACDE4SH512856,TUCSON,SE AWD,$32195,85402A4S,2025
5NMJACDE4SH541404,TUCSON,SE AWD,$32265,85402A4S,2025
5NMJFCDE1SH564253,TUCSON,XRT AWD,$37015,85442A4S,2025
5NMJFCDE6SH520345,TUCSON,XRT AWD,$36620,85442A4S,2025
5NMP1DGL5SH087609,SANTA FE,SE 2.5T AWD,$38000,65402AT5,2025
5NMP5DGL0SH117233,SANTA FE,CALLIGRAPHY 2.5T AWD,$51890,654C2AT5,2025
5NMP5DGL1SH103678,SANTA FE,CALLIGRAPHY 2.5T AWD,$50829,654C2AT5,2025
5NTJBDDEXSH126899,SANTA CRUZ,SEL AWD,$33640,90432A45,2025
5NTJCDDE9SH144534,SANTA CRUZ,SEL ACTIVITY AWD,$37470,90492A45,2025
5NTJCDDF6RH106486,SANTA CRUZ,NIGHT AWD,$40365,90442AT5,2024
5NTJCDDF8RH106215,SANTA CRUZ,NIGHT AWD,$40325,90442AT5,2024
5NTJEDDF3RH118332,SANTA CRUZ,LIMITED AWD,$43335,90472AT5,2024
KM8HB3A70SU018581,KONA,ELECTRIC SE STANDARD RANGE,$35255,Q14A2FEZ,2025
KM8HBCA34SU277488,KONA,N LINE S AWD,$33640,Q1452AT5,2025
KM8KMDDF2RU260470,IONIQ 5,SE AWD,$51245,50412AEZ,2024
KM8KRDDF4RU277921,IONIQ 5,LIMITED AWD,$60305,50462AEZ,2024
KM8KRDDFXRU319928,IONIQ 5,LIMITED AWD,$59970,50462AEZ,2024
KM8R3DGE0SU926770,PALISADE,XRT AWD,$47375,J1482A65,2025
KM8R3DGE1SU923831,PALISADE,XRT AWD,$48020,J1482A65,2025
KM8R7DGE0SU925395,PALISADE,CALLIGRAPHY NIGHT EDITION AWD,$57444,J1492A65,2025
KM8R7DGE1SU925423,PALISADE,CALLIGRAPHY NIGHT EDITION AWD,$56944,J1492A65,2025
KM8R7DGE2SU940870,PALISADE,CALLIGRAPHY NIGHT EDITION AWD,$57155,J1492A65,2025
KMHL34JJ4SA124803,SONATA HYBRID,SEL,$33080,294D2FBS,2025
KMHL34JJ6RA094407,SONATA HYBRID,SEL,$32535,294D2FBS,2024
KMHL54JJ4SA124875,SONATA HYBRID,LIMITED,$39515,294G2FBS,2025
KMHL64JA2SA495028,SONATA,SEL AWD,$31360,29442A4S,2025
KMHL64JA3SA497726,SONATA,SEL FWD,$29825,29442F4S,2025
KMHLL4DGXSU992447,ELANTRA,SE,$24390,494E2F4S,2025
KMHLM4DG2SU001299,ELANTRA,SEL SPORT,$25565,494G2F4S,2025
KMHLM4DG2SU001951,ELANTRA,SEL SPORT,$25040,494G2F4S,2025
KMHLM4DG2SU001965,ELANTRA,SEL SPORT,$25065,494G2F4S,2025
KMHLM4DG4SU989704,ELANTRA,SEL SPORT,$25530,494G2F4S,2025
KMHLM4DG4SU996037,ELANTRA,SEL SPORT,$25065,494G2F4S,2025
KMHLM4DG5SU001961,ELANTRA,SEL SPORT,$25040,494G2F4S,2025
KMHLM4DG6SU005758,ELANTRA,SEL SPORT,$25570,494G2F4S,2025
KMHLM4DG7SU001959,ELANTRA,SEL SPORT,$25040,494G2F4S,2025
KMHLM4DG7SU984612,ELANTRA,SEL SPORT,$25035,494G2F4S,2025
KMHLM4DG7SU993228,ELANTRA,SEL SPORT,$25015,494G2F4S,2025
KMHLM4DG8SU994307,ELANTRA,SEL SPORT,$25065,494G2F4S,2025
KMHLM4DGXSU005780,ELANTRA,SEL SPORT,$25570,494G2F4S,2025
KMHLM4DGXSU993918,ELANTRA,SEL SPORT,$25515,494G2F4S,2025
KMHLM4DJ5SU149409,ELANTRA HYBRID,SEL SPORT,$29190,494B2FBS,2025
KMHLM4DJ6SU146941,ELANTRA HYBRID,SEL SPORT,$29190,494B2FBS,2025
KMHLM4DJ9SU143080,ELANTRA HYBRID,BLUE,$27600,494C2FBS,2025
KMHLN4DJXSU143585,ELANTRA HYBRID,LIMITED,$32080,494D2FBS,2025
KMHLP4DG7SU943176,ELANTRA,LIMITED,$28215,494J2F4S,2025
KMHLP4DG9SU995621,ELANTRA,LIMITED,$29045,494J2F4S,2025
KMHLR4DF1SU981116,ELANTRA,N LINE,$30690,49452FT5,2025
KMHLR4DF3SU953110,ELANTRA,N LINE,$31060,49452FT5,2025
KMHLR4DF4SU981918,ELANTRA,N LINE,$30705,49452FT5,2025
KMHLS4DG4SU989921,ELANTRA,SEL CONVENIENCE,$27595,494H2F4S,2025
KMHLS4DG6SU992156,ELANTRA,SEL CONVENIENCE,$27595,494H2F4S,2025
KMHLS4DG7SU973762,ELANTRA,SEL CONVENIENCE,$27490,494H2F4S,2025
KMHLW4DK3SU029739,ELANTRA,N M/T,$36220,4N4A3FT5,2025
KMHLW4DK4SU030026,ELANTRA,N M/T,$35720,4N4A3FT5,2025
KMHLW4DK5SU027829,ELANTRA,N,$37680,4N4A2FT5,2025
KMHM34AC4RA064358,IONIQ 6,SEL AWD,$50460,A0442AEZ,2024
KMHRB8A34SU384929,VENUE,SE,$22730,30402F45,2025
KMHRC8A35SU385407,VENUE,SEL,$24300,30422F45,2025
